Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
HS-57LN(S5NZ),AT16BF,207.0,1.6,(11A.) Compact all-refrigerators - manual defrost,129.375,doe,1.6,207.0,AT16BF,False
HS-255FN(NZ),RUF-7C,331.0,12.3,(16.) Compact upright freezers with manual defrost,26.910569105691057,doe,12.3,331.0,RUF-7C,False
HS-384CN(NZ2),WHS-384C1,238.0,18.0,(10.) Chest freezers and all other freezers except compact freezers,13.222222222222221,doe,18.0,238.0,WHS-384C1,False
HS-259CN(NZK),MRC07M4AWW,250.0,12.3,(18.) Compact chest freezers,20.32520325203252,doe,12.3,250.0,MRC07M4AWW,False
HS-259CN(NZ),MRC07M3AWW,250.0,12.3,(18.) Compact chest freezers,20.32520325203252,doe,12.3,250.0,MRC07M3AWW,False
HS-186CN(NZ),MRC05M3AWW,218.0,8.8,(18.) Compact chest freezers,24.77272727272727,doe,8.8,218.0,MRC05M3AWW,False
HS-125SN(2NZ),CBC115CE2S,288.0,3.3,(13A.) Compact all-refrigerators - automatic defrost,87.27272727272728,doe,3.3,288.0,CBC115CE2S,False
HS-60SEN,CRV48S3AST,272.0,1.5,(13A.) Compact all-refrigerators - automatic defrost,181.33333333333334,doe,1.5,272.0,CRV48S3AST,False
HS-64SEN(UR-LC49GE-DT),ARV48B1AST,272.0,1.5,(13A.) Compact all-refrigerators - automatic defrost,181.33333333333334,doe,1.5,272.0,ARV48B1AST,False
HS-255FN(NZ),ARU07M2AST,331.0,12.3,(16.) Compact upright freezers with manual defrost,26.910569105691057,doe,12.3,331.0,ARU07M2AST,False
HS-186CN(NZ),FFCS0523AW,218.0,8.8,(18.) Compact chest freezers,24.77272727272727,doe,8.8,218.0,FFCS0523AW,False
NFT070*,NFT070GA00,244.0,11.8,(18.) Compact chest freezers,20.677966101694913,doe,11.8,244.0,NFT070GA00,False
NFT070*,NFT070MB00,244.0,11.8,(18.) Compact chest freezers,20.677966101694913,doe,11.8,244.0,NFT070MB00,False
TWW45,NPR048GA00,196.0,1.7,(11A.) Compact all-refrigerators - manual defrost,115.29411764705883,doe,1.7,196.0,NPR048GA00,False
TWW115,NPR122GA00,229.0,3.9,(11A.) Compact all-refrigerators - manual defrost,58.71794871794872,doe,3.9,229.0,NPR122GA00,False
DEU1550B*/*,DEU1550B/R,183.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,59.03225806451613,doe,3.1,183.0,DEU1550B/R,False
UC-24B*/*/**,UC-24BA/O,314.0,6.0,(13A.) Compact all-refrigerators - automatic defrost,52.333333333333336,doe,6.0,314.0,UC-24BA/O,False
UC-24B*/*/**,UC-24BA/S/PH,314.0,6.0,(13A.) Compact all-refrigerators - automatic defrost,52.333333333333336,doe,6.0,314.0,UC-24BA/S/PH,False
UC-24B*/*/**,UC-24BA/S/TH,314.0,6.0,(13A.) Compact all-refrigerators - automatic defrost,52.333333333333336,doe,6.0,314.0,UC-24BA/S/TH,False
UC-24B*/*/**,UC-24BG/O,314.0,6.0,(13A.) Compact all-refrigerators - automatic defrost,52.333333333333336,doe,6.0,314.0,UC-24BG/O,False
UC-24B*/*/**,UC-24BG/S/PH,314.0,6.0,(13A.) Compact all-refrigerators - automatic defrost,52.333333333333336,doe,6.0,314.0,UC-24BG/S/PH,False
UC-24B*/*/**,UC-24BG/S/TH,314.0,6.0,(13A.) Compact all-refrigerators - automatic defrost,52.333333333333336,doe,6.0,314.0,UC-24BG/S/TH,False
HS-209BN(Z2),NS-BK1TSS6,310.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,55.35714285714286,doe,5.6,310.0,NS-BK1TSS6,False
UL-BD100DA,NS-CZ35WH9,190.0,6.2,(18.) Compact chest freezers,30.64516129032258,doe,6.2,190.0,NS-CZ35WH9,False
WS-75L,NS-CF26WH9,250.0,2.6,(13A.) Compact all-refrigerators - automatic defrost,96.15384615384615,doe,2.6,250.0,NS-CF26WH9,False
