Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n10-09,WRT541SZH*0*,26.0,399.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZH.0.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3in10-10,WRT541SZD*0*,26.0,483.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZD.0.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3in10-10,WRT541SZH*0*,26.0,483.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZH.0.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3in10-11,WRT541SZH*0*,26.0,483.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZH.0.
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n10-11,WRT541SZD*0*,26.0,399.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZD.0.
KENMORE,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5i90-03,7931***,23.0,553.0,18.7,No,No,https://www.kenmore.com/energyguide/,7931...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5i90-03,MBF1958FE***,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,MBF1958FE...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5i90-04,MBF1958FE***,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,MBF1958FE...
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,8W5i90-04,WRB329DMB*,23.0,553.0,18.7,No,No,https://www.whirlpool.com/services/manuals.html,WRB329DMB.
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,8w7t10-01,WRS331SDH*0*,26.5,602.0,21.4,No,No,https://www.whirlpool.com/services/manuals.html,WRS331SDH.0.
JENN-AIR,(9I-BI.) Built-in upright freezers with automatic defrost with an automatic icemaker,8W9IBI090,JBZF*18IGX**,15.8,459.0,9.0,No,No,https://www.whirlpool.com/services/manuals.html,JBZF.18IGX..
KITCHENAID,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,9w750,KRSF705*****,31.5,640.0,24.8,No,No,https://www.whirlpool.com/services/manuals.html,KRSF705.....
HAMILTON BEACH,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BCD-513WR,HBF1770,21.7,435.0,17.7,No,No,By annual report date,HBF1770
F40C4TMP,(11A.) Compact all-refrigerators - manual defrost,CR50,CR32,1.7,168.0,1.7,No,No,By annual report date,CR32
Hisense,(18.) Compact chest freezers,FC50D6EWE,FC50D6EWE,8.9,196.0,5.0,No,No,https://www.hisense-usa.com/support/,FC50D6EWE
Hisense,(13A.) Compact all-refrigerators - automatic defrost,BC-92N/HC1(H),LCR33D6N*E,3.1,258.0,3.1,No,No,https://www.hisense-usa.com/support/,LCR33D6N.E
Midea,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,HC-808WE,MRQ22D7AST,26.7,658.0,21.6,No,No,https://maipdf.cn/pdf/a86432454003@pdf,MRQ22D7AST
Beko,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,BFTF2716WH,BFTF2716WH,16.3,326.0,13.6,No,No,By annual report date,BFTF2716WH
Beko,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BFBF2414SL,BFBF2414WH,13.8,286.0,11.4,No,No,By annual report date,BFBF2414WH
Beko,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BFBF2414SL,BFBF2414SS,13.8,286.0,11.4,No,No,By annual report date,BFBF2414SS
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-486WI,VFFR1700ESE,20.1,504.0,16.5,No,No,By annual report date,VFFR1700ESE
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-486WI,VFFR1700ESSE,20.1,504.0,16.5,No,No,By annual report date,VFFR1700ESSE
Insignia,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,BCD-543WPBZR/HC1(E),NS-RFD21CXSS0-C,24.8,642.0,20.1,No,No,https://www.bestbuy.com/,NS-RFD21CXSS0-C
INSIGNIA,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,BCD-740WPEZR/HC1(E),NS-RFD26XSS0,31.3,696.0,25.4,No,No,https://www.bestbuy.com/,NS-RFD26XSS0
Hisense,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-740WPZR/HC,HRF266N6C*E,32.5,628.0,26.6,No,No,https://assets.hisense-usa.com/assets/ProductDownloads/240/d0d814b4cc/HRF266N6CSE-Energy-label.pdf,HRF266N6C.E
Hisense,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-740WPZR/HC,RF26N6A*E,32.5,628.0,26.6,No,No,https://www.hisense-usa.com/support/models,RF26N6A.E
Hisense,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,BCD-740WPEZR/HC1(E),HRF254N6T*E,31.3,696.0,25.4,No,No,https://www.hisense-usa.com/compliance/2020-energy-guide-page,HRF254N6T.E
Hisense,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,BCD-740WPEZR/HC1(E),RF254N6A*E,31.3,696.0,25.4,No,No,https://www.hisense-usa.com/support/models,RF254N6A.E
INSIGNIA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WPAZR/HC,NS-RFD21CISS0,25.6,573.0,20.9,No,No,http://www.bestbuy.com/,NS-RFD21CISS0
Criterion,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,CFRR310WD#*#,CFRR310WD#*#,37.4,748.0,30.6,No,No,By annual report date,CFRR310WD...
COOL-LIVING,(18.) Compact chest freezers,BD1-145,CL-5UFR,8.8,195.0,5.0,No,No,https://coollivingproducts.com/products/cool-living-5-cu-ft-white-chest-freezer,CL-5UFR
Hisense,(11.) Compact refrigerator-freezers and refrigerators other than all-refrigerators with manual defrost,RC63C1G*E,WMS063M6X*E,6.7,281.0,6.4,No,No,https://www.hisense-usa.com/support/,WMS063M6X.E
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3in10-16,WRT541SZH*0*,26.0,483.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZH.0.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,4w3in10-16,WRT541SZD*0*,26.0,483.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZD.0.
APPLIANCE BASICS,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,HD-774FWEN,HD774FW**,25.6,396.0,21.0,No,No,By annual report date,HD774FW..
TCL,(12.) Compact refrigerator-freezers - partial automatic defrost,DF2-160B,MR422S,5.4,327.0,4.5,No,No,By annual report date,MR422S
Bloomberg,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BFBD30216SSIM,BRFB21622SS,20.1,438.0,16.1,No,No,By annual report date,BRFB21622SS
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BFBD30216SSIM,BFBD30216SSIML,20.1,438.0,16.1,No,No,By annual report date,BFBD30216SSIML
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BFBD30216SSIM,BFBF30116WHIM,20.1,438.0,16.1,No,No,By annual report date,BFBF30116WHIM
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BFBD30216SSIM,BFBF30116SSIM,20.1,438.0,16.1,No,No,By annual report date,BFBF30116SSIM
Bloomberg,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BFBD30216SS,BRFB21612SS,20.1,355.0,16.1,No,No,By annual report date,BRFB21612SS
Beko,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BFBD30216SS,BFBF30116SS,20.1,355.0,16.1,No,No,By annual report date,BFBF30116SS
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BFBD30216SSIM,BFBF30216SSIML,20.1,438.0,16.1,No,No,By annual report date,BFBF30216SSIML
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,2w5i90,KRQC506M****,25.1,569.0,19.4,No,No,https://www.whirlpool.com/services/manuals.html,KRQC506M....
CRITERION,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WPAZR/HC,463-1202,25.6,573.0,20.9,No,No,https://www.menards.com/main/items/media/PLAST012/Energy_Guide_Label/163-1202_E_Guide.pdf,463-1202
CRITERION,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WPAZR/HC,463-1209,25.6,573.0,20.9,No,No,https://www.menards.com/main/items/media/PLAST012/Energy_Guide_Label/463-1209_E_GUIDE.pdf,463-1209
CRITERION,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WPAZR/HC,CFRR211P1B,25.6,573.0,20.9,No,No,https://www.menards.com/main/items/media/PLAST012/Energy_Guide_Label/463-1209_E_GUIDE.pdf,CFRR211P1B
Hisense,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,BCD-516WY/HC1(H),HRT180N6A*E,21.1,363.0,18.0,No,No,https://www.hisense-usa.com/compliance/2020-energy-guide-page,HRT180N6A.E
Hisense,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BCD-450WYC/HC1(H),RB17A2C*E,21.1,453.0,17.2,No,No,https://www.hisense-canada.com/en/home-appliances/all-refrigerators/,RB17A2C.E
Hisense,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,BCD-490WP1BF1S3/HC1(H),RF200D4C*E,25.5,648.0,19.8,No,No,https://www.hisense-canada.com/en/home-appliances/all-refrigerators/,RF200D4C.E
Mora,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,BCD-490WP1BF1S3/HC1(H),MRM198N6T*E,25.5,648.0,19.8,No,No,https://www.mora-appliances.com/,MRM198N6T.E
MORA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WP2BF1Z6/HC1(H),MRF211N6C*E,25.9,573.0,21.2,No,No,https://www.mora-appliances.com/,MRF211N6C.E
FORTÉ,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WPAZR/HC,FFD21ESCSS,25.6,573.0,20.9,No,No,https://static.forteappliances.com/attachments/D6283d5f876942.pdf,FFD21ESCSS
AVG,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BCD-450WYC/HC1(H),ARBM171DSE,21.1,453.0,17.2,No,No,https://www.distributionsavantgarde.ca/en/8-2508/product-summary/fridges/avg/arbm171dse/,ARBM171DSE
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WPAZR/HC,VFFR2100ESSE,25.6,573.0,20.9,No,No,https://rangestoreoutlet.com/freestanding/2774-vitara-36-french-door-refrigerator-vffr2100esse.html,VFFR2100ESSE
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-543WPAZR/HC,VFFR210*ESSE,25.6,573.0,20.9,No,No,http://vitaraamerica.com/product/vffr2100esse/,VFFR210.ESSE
Hisense,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-587WID,HRF208N6B*E,25.8,547.0,20.6,No,No,https://www.hisense-usa.com/support,HRF208N6B.E
HISENSE,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BCD-552WP/HC,RF208N6A*E,25.8,491.0,21.1,No,No,https://www.hisense-usa.com/support/models,RF208N6A.E
Magic chef,(11A.) Compact all-refrigerators - manual defrost,BC-46C-E,MCR16CHB,1.6,208.0,1.6,No,No,By annual report date,MCR16CHB
Magic chef,(11A.) Compact all-refrigerators - manual defrost,BC-46C-E,MCR16CHR,1.6,208.0,1.6,No,No,By annual report date,MCR16CHR
Magic chef,(11A.) Compact all-refrigerators - manual defrost,BC-90C-E,MCR32CHW,3.2,219.0,3.2,No,No,By annual report date,MCR32CHW
Magic chef,(11A.) Compact all-refrigerators - manual defrost,BC-90C-E,MCR32CHB,3.2,219.0,3.2,No,No,By annual report date,MCR32CHB
Hisense,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-91DJ1NA1/HC1(H),RC31C2W*E,3.7,321.0,3.1,No,No,https://www.hisense-canada.com/en/home-appliances/all-refrigerators/ [hisense-canada.com],RC31C2W.E
Hisense,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-123DJ1NA1-HC1(H),RC44C2G*E,5.2,329.0,4.4,No,No,https://www.hisense-canada.com/en/home-appliances/all-refrigerators/ [hisense-canada.com],RC44C2G.E
Upstreman,(13A.) Compact all-refrigerators - automatic defrost,BC-98CNB,FR35,3.6,260.0,3.6,No,No,By annual report date,FR35
Upstreman,(11A.) Compact all-refrigerators - manual defrost,BC70DAN,FR25,2.5,210.0,2.5,No,No,By annual report date,FR25
Upstreman,(11A.) Compact all-refrigerators - manual defrost,BC-50DAN,FR16,1.6,200.0,1.6,No,No,By annual report date,FR16
Liebherr,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,ICB5160IM,ICB5160IM,10.6,382.0,8.7,No,No,By annual report date,ICB5160IM
Liebherr,(5-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,ICS5100,IC5100PC,10.7,300.0,8.9,No,No,By annual report date,IC5100PC
Liebherr,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,IC5110IM,IC5110IM,10.9,475.0,9.0,No,No,By annual report date,IC5110IM
Blomberg,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,BFBD30216SS,BRFB21612SS,20.1,355.0,16.1,No,No,By annual report date,BRFB21612SS
WHIRLPOOL,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,7W5ij00-06,WRF540CWH*,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF540CWH.
KITCHENAID,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,4w7bim00-02,KSSC48QVS**,37.3,805.0,29.5,No,No,https://www.whirlpool.com/services/manuals.html,KSSC48QVS..
KITCHENAID,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,4w7bim00-02,KBSD608ESS**,37.3,805.0,29.5,No,No,https://www.whirlpool.com/services/manuals.html,KBSD608ESS..
KITCHENAID,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,4w7bim00-02,KBSD608EBS**,37.3,805.0,29.5,No,No,https://www.whirlpool.com/services/manuals.html,KBSD608EBS..
JENN-AIR,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,4w7bim00-02,JS48SSDUDE**,37.3,805.0,29.5,No,No,https://www.whirlpool.com/services/manuals.html,JS48SSDUDE..
JENN-AIR,(7-BI.) Built-In Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,4w7bim00-02,JS48PPDUDE**,37.3,805.0,29.5,No,No,https://www.whirlpool.com/services/manuals.html,JS48PPDUDE..
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,7w5ab40-18,WRX735SDH*,29.6,683.0,24.5,No,No,https://www.whirlpool.com/services/manuals.html,WRX735SDH.
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,6w5ab50-20,WRF555SDH*,29.9,685.0,24.7,No,No,https://www.whirlpool.com/services/manuals.html,WRF555SDH.
IKEA,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,6w5ab50-20,IX7DDEXGZ*,29.9,685.0,24.7,No,No,https://www.whirlpool.com/services/manuals.html,IX7DDEXGZ.
Whirlpool,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-27,WRB322DMH*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,WRB322DMH.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-27,MBF2258FE***,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258FE...
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij20-27,MBF2258DE*,27.0,584.0,22.1,No,No,https://www.whirlpool.com/services/manuals.html,MBF2258DE.
MAYTAG,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-19,MFC2062FE***,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,MFC2062FE...
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5iz00-19,KRFC300E****,24.3,563.0,20.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFC300E....
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,G91629NW,BFFD3624ZSS,24.9,566.0,19.9,No,No,By annual report date,BFFD3624ZSS
RCA,(12.) Compact refrigerator-freezers - partial automatic defrost,BCD-90-E,RFR834,3.9,322.0,3.2,No,No,By annual report date,RFR834
THOMSON,(11A.) Compact all-refrigerators - manual defrost,BC-128-E,TFR441,4.5,252.0,4.5,No,No,By annual report date,TFR441
FRIGIDAIRE,(11A.) Compact all-refrigerators - manual defrost,BC-90U-E,EFR372-MINT,3.2,219.0,3.2,No,No,By annual report date,EFR372-MINT
SUMMIT,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,FFBF279SSX,FFBF279SSX,17.6,423.0,14.6,No,No,https://www.summitappliance.com/energy_guide/6158.pdf,FFBF279SSX
Blomberg,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BRFB1542SS,BRFB1542SS,16.7,420.0,13.8,No,No,By annual report date,BRFB1542SS
Beko,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BFBF2815SSIM,BFBF2815SSIM,16.7,420.0,13.8,No,No,By annual report date,BFBF2815SSIM
GLADIATOR,(3A.) All-refrigerators - automatic defrost,6w3ab80-05,GARF30FDGB**,17.8,293.0,17.8,No,No,https://www.whirlpool.com/services/manuals.html,GARF30FDGB..
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,5w3n80-17,WRT138FZD*,22.1,370.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT138FZD.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,5w3in80-17,WRT138FZD*,22.1,455.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT138FZD.
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,4w3n10-17,WRT541SZH*0*,26.0,399.0,21.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT541SZH.0.
Beko,(9.) Upright freezers with automatic defrost without an automatic icemaker,F70420NE,BUFR2715WH,25.1,305.0,14.3,No,No,https://www.beko.com/us-en,BUFR2715WH
Beko,(9.) Upright freezers with automatic defrost without an automatic icemaker,F70420NE,BUFR2715MG,25.1,305.0,14.3,No,No,https://www.beko.com/us-en,BUFR2715MG
KITCHENAID,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,4w5ij51-08,KRFF305E****,30.8,615.0,25.2,No,No,https://www.whirlpool.com/services/manuals.html,KRFF305E....
Hisense,(11A.) Compact all-refrigerators - manual defrost,WMS017M6XBE,WMS017M6XBE,1.6,208.0,1.6,No,No,https://www.hisense-usa.com/support/ [hisense-usa.com],WMS017M6XBE
COSMO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-630WP2BF1Z21/HC1(E),COS-FDR223GWSS,27.7,590.0,22.4,No,No,https://cosmoappliances.com/wp-content/uploads/2022/09/COS-FDR223GWSS-Energy-Guide-Label.pdf,COS-FDR223GWSS
Midea,(13A.) Compact all-refrigerators - automatic defrost,HS-121LN(S5NZ),MRM33S4ASLC,3.3,220.0,3.3,No,No,https://we.tl/t-cL2MAbc5Ec,MRM33S4ASLC
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESE-C,25.0,539.0,20.3,No,No,By annual report date,VFFR2101ESE-C
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESSE-C,25.0,539.0,20.3,No,No,By annual report date,VFFR2101ESSE-C
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESBE,25.0,539.0,20.3,No,No,By annual report date,VFFR2101ESBE
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESE,25.0,539.0,20.3,No,No,By annual report date,VFFR2101ESE
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESSE,25.0,539.0,20.3,No,No,By annual report date,VFFR2101ESSE
Liebherr,(3A.) All-refrigerators - automatic defrost,SRB5290,SRB5290,13.7,200.0,13.7,No,No,By annual report date,SRB5290
Liebherr,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,C5250,C5250,14.4,288.0,11.4,No,No,By annual report date,C5250
Liebherr,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,SC5781,SC5781,15.6,300.0,12.8,No,No,By annual report date,SC5781
Liebherr,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,C5740IM,C5740IM,15.6,370.0,12.8,No,No,By annual report date,C5740IM
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,5w3n80-18,WRT138FZD*,22.1,370.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT138FZD.
WHIRLPOOL,(3I.) Refrigerator-freezers - automatic defrost with top-mounted freezer with an automatic icemaker without through-the-door ice service,5w3in80-18,WRT138FZD*,22.1,455.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html,WRT138FZD.
BEKO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,G91626NWLU,BFFD3626ZSS,24.7,565.0,19.8,No,No,By annual report date,BFFD3626ZSS
KITCHENAID,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,8W5A70-12,KRFF577K**0*,33.0,710.0,27.0,No,No,https://www.whirlpool.com/services/manuals.html,KRFF577K..0.
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,8W5A70-12,WRF757SDH*0*,33.0,710.0,27.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF757SDH.0.
WHIRLPOOL,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,8W5A71-10,WRF767SDH*0*,33.0,710.0,27.0,No,No,https://www.whirlpool.com/services/manuals.html,WRF767SDH.0.
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7w7t42-03,WRS335SDH*0*,31.5,640.0,24.6,No,No,https://www.whirlpool.com/services/manuals.html,WRS335SDH.0.
IKEA,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7w7t42-03,IRS335SDH*0*,31.5,640.0,24.6,No,No,https://www.whirlpool.com/services/manuals.html,IRS335SDH.0.
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,8w7t10-03,WRS331SDH*0*,26.5,602.0,21.4,No,No,https://www.whirlpool.com/services/manuals.html,WRS331SDH.0.
SMAD,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,RF-510W,DDT-510W*A1U,21.4,365.0,18.2,No,No,By annual report date,DDT-510W.A1U
Insignia,(11A.) Compact all-refrigerators - manual defrost,BC-122DJ1NA1/HC1(Y),NS-CF44SS#***,4.4,228.0,4.4,No,No,By annual report date,NS-CF44SS....
Insignia,(11A.) Compact all-refrigerators - manual defrost,BC-94DJ1NA1A/HC1(Y),NS-CF33SS#***,3.3,220.0,3.3,No,No,By annual report date,NS-CF33SS....
Insignia,(11A.) Compact all-refrigerators - manual defrost,BC-94DJ1NA1A/HC1(Y),NS-CF33SS3,3.3,220.0,3.3,No,No,By annual report date,NS-CF33SS3
Insignia,(11A.) Compact all-refrigerators - manual defrost,BC-94DJ1NA1A/HC1(Y),NS-CF33BK#***,3.3,220.0,3.3,No,No,By annual report date,NS-CF33BK....
