Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L18LAB1AA2,WET4124H**,3.4,120.0,,Yes,3.61,No,No
Whirlpool,Vented Gas,L21Q2AG1AJ0,WGD5010L**,7.0,,21956.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG6,MED6230RH**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QAG1AG11,WED49STB**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG24,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MAB1AC7,WET4024H**,3.4,240.0,,Yes,3.27,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG14,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG14,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG13,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L18QBG1AJ10,MGDC465H**,7.0,,22055.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG7,WED5100H**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG7,MED6230RH**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG25,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RDF1AG25,NED4655E**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG15,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG26,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG15,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L18QAG1AJ9,WGD4850H**,7.0,,22307.0,Yes,3.3,No,No
Maytag,Vented Gas,L18QBG1AJ11,MGDC465H**,7.0,,22167.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A18BAI1AI4,WGD6120H**,7.4,,20274.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG27,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG27,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG10,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Admiral,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22RFF1AG0,AED4516M**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L22T2AG1AJ0,WGD500RL**,7.0,,22406.0,Yes,3.3,No,No
Maytag,Vented Gas,L22UBG1AJ0,MGD6500M**,7.0,,22178.0,Yes,3.3,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L22Q2BG1AG0,MED4500M**,7.0,240.0,,Yes,3.73,No,No
