Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Whirlpool,Standard size dishwasher,ADB1300AF**-13,WDF121PAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDF121PAF..
Whirlpool,Standard size dishwasher,WDF341PAP**,WDF341PAP**,240.0,3.2,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDF341PAP..
Whirlpool,Standard size dishwasher,WDP340PAF**-01,WDP370PAH**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDP370PAH..
Whirlpool,Standard size dishwasher,WDP340PAF**-02,WDP340PAF**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDP340PAF..
Whirlpool,Standard size dishwasher,WDP340PAF**-03,WDP370PAH**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html,WDP370PAH..
Whirlpool,Standard size dishwasher,WDP350PAA**-01,WDP350PAA**,295.0,3.4,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDP350PAA..
Whirlpool,Standard size dishwasher,WDT751SAP**,WDT751SAP**,240.0,3.2,12.0,No,No,https://www.whirlpool.com/services/manuals.html,WDT751SAP..
Maytag,Standard size dishwasher,MDB4950SP**,MDB4950SP**,240.0,3.2,12.0,No,No,https://www.maytag.com/owners.html,MDB4950SP..
Kenmore,Standard size dishwasher,1715*K***-03,1715*K***,295.0,3.4,12.0,No,No,https://www.kenmore.com/energyguide/,1715.K...
KitchenAid,Standard size dishwasher,KDFE105P***,KDFE105P***,240.0,3.2,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html,KDFE105P...
Maytag,Standard size dishwasher,MDB8989SH**,MDB4949SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB4949SH..
