Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2421HRSM,314714282,23000.0,2340.0,9.8,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1821HRSM,314714287,18000.0,1600.0,11.1,No,No,http://www.lg.com/global/support/ftclabel
LG,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",LW8021HRSM,314714288,7500.0,670.0,11.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2516ER,206520592,24500.0,2370.0,10.3,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1816HR,206520610,18000.0,1600.0,11.1,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1216HR,206520620,12000.0,1060.0,11.2,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1217ERSM,300422888,12000.0,990.0,12.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1017ERSM,300422896,10000.0,820.0,12.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1816ER,206520618,18000.0,1510.0,11.8,No,No,http://www.lg.com/global/support/ftclabel
LG,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",LW1516ER,206520622,15000.0,1260.0,11.8,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW1216ER,206520589,12000.0,990.0,12.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8016ER,206520588,8000.0,660.0,12.0,No,No,http://www.lg.com/global/support/ftclabel
LG,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",LW6017R,300422895,6000.0,520.0,11.3,No,No,http://www.lg.com/global/support/ftclabel
LG,"(9) Without reverse cycle, without louvered sides, and 14,000 to 19,999 Btu/h",LT1430CNR,313217844,14000.0,1500.0,9.3,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1037HNR,301771201,10000.0,1020.0,9.7,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",LT1236CER,206795968,11800.0,1110.0,10.5,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",LT1216CER,206795958,11800.0,1110.0,10.5,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT1016CER,206795952,9800.0,920.0,10.6,No,No,http://www.lg.com/global/support/ftclabel
LG,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",LT0816CER,206795936,8000.0,750.0,10.6,No,No,http://www.lg.com/global/support/ftclabel
LG,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",LW8022IVSM,1006792754,8000.0,700.0,15.5,No,No,http://www.lg.com/global/support/ftclabel
LG,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",LW2422IVSM,1006800232,23500.0,2570.0,14.3,No,No,http://www.lg.com/global/support/ftclabel
