Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Cycle_Settings_for_Energy_Test_Cycle___Program_Cycle_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Temperature_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Dryness_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Other_Optional_Cycle_Settings_in_the_As_Shipped_Position__If_Applicable__s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
LG,Vented Gas,DLGX3901*,DLGX3901*,7.4,,20000.0,Yes,3.49,Normal,Med. High,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7100*,DLE7100*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7200*E,DLE7200*E,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7200*E,DLEY1901*E,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX4271*,DLG3181*,7.4,,20000.0,Yes,3.49,Cotton/Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7600*E,DLEX7200*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLE3075*,7.4,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX5001*,DLGX5011*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX4271*,DLGX4271*,7.4,,20000.0,Yes,3.49,Cotton/Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX4271*,DLGX3371*,7.4,,20000.0,Yes,3.49,Cotton/Normal,Medium,Normal,,No,No
