Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7W7Z40-07,WRS555SI**0*,31.4,701.0,24.5,No,No,https://www.whirlpool.com/services/manuals.html
MAYTAG,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7W7Z40-07,MSS25C4M**0*,31.4,701.0,24.5,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7w7P40-22,WRS325SDH*0*,31.5,702.0,24.6,No,No,https://www.whirlpool.com/services/manuals.html
Liebherr,(3A.) All-refrigerators - automatic defrost,SRB5290,SRB5290,13.7,200.0,13.7,No,No,By annual report date
Liebherr,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,C5250,C5250,14.4,288.0,11.4,No,No,By annual report date
Liebherr,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,SC5781,SC5781,15.6,300.0,12.8,No,No,By annual report date
Liebherr,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,C5740IM,C5740IM,15.6,370.0,12.8,No,No,By annual report date
MAYTAG,(9.) Upright freezers with automatic defrost without an automatic icemaker,4w9g00-12,MZF34X20D*,34.6,525.0,19.7,No,No,https://www.whirlpool.com/services/manuals.html
AMANA,(9.) Upright freezers with automatic defrost without an automatic icemaker,4w9g00-12,AZF33X20D*,34.6,525.0,19.7,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(3.) Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic icemaker,5w3n80-18,WRT138FZD*,22.1,370.0,18.3,No,No,https://www.whirlpool.com/services/manuals.html
