Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ53(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals,MVWX655D..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ56(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals,MVWX655D..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ57(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals,MVWX655D..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBJ58(3B),MVWX655D**,4.3,1.57,6.5,46.3,No,No,http://www.whirlpool.com/manuals,MVWX655D..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nCW50(3B),2244*51*,3.6,1.57,6.5,45.3,No,No,http://www.kenmore.com/energyguide,2244.51.
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pCj50(3B),2235*51*,4.2,1.57,6.5,46.3,No,No,http://www.kenmore.com/energyguide,2235.51.
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17rBn52(3B),MVWC416F**,3.6,1.57,6.5,42.9,No,No,http://www.whirlpool.com/manuals,MVWC416F..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17rCn50(3B),2224*51*,3.6,1.57,6.5,42.9,No,No,http://www.kenmore.com/energyguide,2224.51.
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs51(3B),MVWB765F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB765F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs51(3B),MVWB766F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB766F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs52(3B),MVWB765F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB765F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs52(3B),MVWB766F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB766F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs53(3B),MVWB765F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB765F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs53(3B),MVWB766F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB766F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs54(3B),MVWB765F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB765F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs54(3B),MVWB766F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB766F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs55(3B),MVWB766F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB766F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs56(3B),MVWB765F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB765F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs57(3B),MVWB765F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB765F..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBs57(3B),MVWB766F**,4.7,1.57,6.5,36.6,No,No,http://www.whirlpool.com/manuals,MVWB766F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh51(3B),WTW4616F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4616F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh51(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4816F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh52(3B),WTW4616F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4616F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh52(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4816F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CAK515(3B),WTW8500D*+,5.3,2.06,4.3,35.8,No,No,http://www.whirlpool.com/manuals,WTW8500D.+
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh54(3B),WTW4616F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4616F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh56(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4816F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh57(3B),WTW4616F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4616F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh57(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4816F..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh58(3B),WTW4616F**,3.5,1.57,6.5,45.1,No,No,http://www.whirlpool.com/manuals,WTW4616F..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wCy50(3B),2512*81*,3.9,1.57,6.5,40.9,No,No,http://www.kenmore.com/energyguide,2512.81.
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh58(3B),NTW4665G**,3.5,1.57,6.5,44.5,No,No,http://www.whirlpool.com/manuals,NTW4665G..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17CB557(3B),MVWB865G**,5.2,1.57,6.5,34.9,No,No,http://www.whirlpool.com/manuals,MVWB865G..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx56(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4855H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx56(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No,http://www.whirlpool.com/manuals,WTW4955H..
